tier	lineage	cell_type	size_gib	gs_path
PRIORITY	GI	Domcke2020-intestinal_tissue	5.3	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Domcke2020/Domcke2020-intestinal_tissue/fragments_standardized.tar.gz
PRIORITY	cardiac	Kanemaru2023-cardiac_tissue	21.8	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/fragments_standardized.tar.gz
PRIORITY	cardiac	Ameen2022-cardiac_invitro_tissue	12.3	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Ameen2022/Ameen2022-cardiac_invitro_tissue/fragments_standardized.tar.gz
PRIORITY	cardiac	Domcke2020-cardiac_tissue	12.2	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Domcke2020/Domcke2020-cardiac_tissue/fragments_standardized.tar.gz
PRIORITY	endocrine	Domcke2020-adrenal_gland	10.2	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Domcke2020/Domcke2020-adrenal_gland/fragments_standardized.tar.gz
PRIORITY	endocrine	Zhang2022-pituitary_tissue	5.4	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Zhang2022/Zhang2022-pituitary_tissue/fragments_standardized.tar.gz
PRIORITY	eye	Liang2023-retinal_tissue	29.0	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Liang2023/Liang2023-retinal_tissue/fragments_standardized.tar.gz
PRIORITY	eye	Wang2022-retinal_tissue	8.8	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Wang2022/Wang2022-retinal_tissue/fragments_standardized.tar.gz
PRIORITY	liver	Domcke2020-hepatic_tissue	16.7	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Domcke2020/Domcke2020-hepatic_tissue/fragments_standardized.tar.gz
PRIORITY	lung	Domcke2020-pulmonary_tissue	14.0	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Domcke2020/Domcke2020-pulmonary_tissue/fragments_standardized.tar.gz
PRIORITY	lung	Terekhanova2023-pulmonary_tissue	10.8	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Terekhanova2023/Terekhanova2023-pulmonary_tissue/fragments_standardized.tar.gz
PRIORITY	neural	Lee2023-brain_tissue	14.9	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Lee2023/Lee2023-brain_tissue/fragments_standardized.tar.gz
PRIORITY	neural	Li2023b-brain_tissue	13.1	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Li2023b/Li2023b-brain_tissue/fragments_standardized.tar.gz
PRIORITY	neural	Domcke2020-brain_tissue	8.9	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Domcke2020/Domcke2020-brain_tissue/fragments_standardized.tar.gz
PRIORITY	neural	Terekhanova2023-brain_tissue	5.3	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Terekhanova2023/Terekhanova2023-brain_tissue/fragments_standardized.tar.gz
PRIORITY	renal	Yoshimura2023-renal_tissue	16.5	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Yoshimura2023/Yoshimura2023-renal_tissue/fragments_standardized.tar.gz
